代码	名称	7月10日涨跌幅(%)	7月9日涨跌幅(%)
000017	深中华A	-8.55	8.086
000672	上峰材料	-9.862	9.99
002371	北方华创	-8.815	9.486
002384	东山精密	-7.278	10.002
002429	兆驰股份	-8.85	7.109
002436	兴森科技	-7.469	9.998
002463	沪电股份	-5.725	7.098
002552	宝鼎科技	-6.508	10.005
003026	中晶科技	-7.386	8.059
300041	回天新材	-10.782	8.136
300054	鼎龙股份	-13.428	7.419
300121	阳谷华泰	-9.815	10.034
300223	北京君正	-6.83	9.583
300236	上海新阳	-8.849	18.756
300260	新莱应材	-12.263	10.132
300332	天壕能源	-7.708	11.628
300346	南大光电	-7.371	8.161
300604	长川科技	-5.799	17.899
300655	晶瑞电材	-7.226	7.422
300656	民德电子	-6.499	10.321
300666	江丰电子	-6.596	9.172
300706	阿石创	-11.032	7.416
300757	罗博特科	-6.191	9.695
300776	帝尔激光	-7.934	7.258
300811	铂科新材	-6.051	8.393
300814	中富电路	-7.692	10.176
300821	东岳硅材	-11.111	14.713
300845	捷安高科	-7.864	12.587
300868	杰美特	-6.216	9.358
300870	欧陆通	-6.301	9.733
300936	中英科技	-7.19	7.223
301095	广立微	-9.247	8.088
301285	鸿日达	-5.833	10.944
301396	宏景科技	-8.716	10.895
301611	珂玛科技	-6.865	10.016
301666	大普微	-7.971	10.347
600520	三佳科技	-7.846	9.389
600773	西藏城投	-9.023	7.28
600909	华安证券	-6.634	10.022
601869	长飞光纤	-5.944	7.624
603061	金海通	-7.956	10.0
603156	养元饮品	-5.974	10.005
603203	快克智能	-9.959	7.431
603650	彤程新材	-7.604	7.813
603986	兆易创新	-7.76	10.0
688008	澜起科技	-6.207	15.638
688012	中微公司	-7.863	11.487
688019	安集科技	-9.043	8.798
688020	方邦股份	-6.468	8.058
688025	杰普特	-6.962	14.158
688057	XD金达莱	-9.008	13.538
688123	聚辰股份	-6.038	13.266
688146	中船特气	-19.145	9.849
688147	微导纳米	-11.484	10.954
688150	莱特光电	-6.735	7.221
688172	燕东微	-11.302	10.902
688178	万德斯	-6.41	8.735
688179	阿拉丁	-8.442	11.369
688181	八亿时空	-6.256	10.563
688200	华峰测控	-6.998	8.87
688206	概伦电子	-11.019	12.288
688220	翱捷科技	-5.904	8.579
688233	神工股份	-12.133	12.643
688234	天岳先进	-9.504	7.714
688249	晶合集成	-17.007	11.451
688256	寒武纪	-8.795	8.593
688300	联瑞新材	-6.622	7.745
688307	中润光学	-7.594	9.93
688332	中科蓝讯	-7.598	7.083
688347	华虹宏力	-7.648	11.747
688352	颀中科技	-6.343	15.714
688362	甬矽电子	-6.62	17.143
688392	骄成超声	-15.678	8.057
688396	华润微	-14.671	9.059
688401	路维光电	-12.491	10.333
688403	汇成股份	-10.214	14.43
688409	富创精密	-9.3	8.092
688416	恒烁股份	-7.349	7.61
688419	耐科装备	-9.069	7.86
688450	光格科技	-13.53	9.28
688469	芯联集成	-11.493	9.227
688478	晶升股份	-8.378	7.371
688498	源杰科技	-7.847	7.978
688530	欧莱新材	-12.989	8.492
688531	日联科技	-8.088	10.317
688545	兴福电子	-7.183	7.535
688548	广钢气体	-14.342	8.761
688627	精智达	-7.392	10.184
688630	芯碁微装	-10.193	9.411
688661	和林微纳	-9.104	7.872
688727	恒坤新材	-8.052	11.367
688728	格科微	-9.901	7.098
688766	普冉股份	-7.751	9.808
688777	中控技术	-6.598	8.582
688785	恒运昌	-5.903	9.91
688795	摩尔线程	-7.64	13.964
688797	臻宝科技	-13.564	12.295
688802	沐曦股份	-7.387	16.879
688809	强一股份	-8.204	9.723
688820	盛合晶微	-8.998	12.011
688981	中芯国际	-5.769	13.741
920045	蘅东光	-8.735	8.429
920136	永励精密	-24.912	76.349
920179	凯德石英	-11.527	7.876
（内容由AI生成，仅供参考）
